key	 	en	de	fr	la	extra_arguments
app_name	Septiman\u200bapp	not-translatable	not-translatable	not-translatable	not-translatable	
navigation_drawer_open	Navigationsleiste öffnen	Open navigation drawer	Navigationsleiste öffnen			
navigation_drawer_close	Navigationsleiste schließen	Close navigation drawer	Navigationsleiste schließen			
nav_header_subtitle	loos.jonathan.martin@gmail.com	not-translatable	not-translatable	not-translatable	not-translatable	
nav_header_desc	Navigation header					
settings	Settings					
nav_drawer_count_down_pattern	%d T %d h %d min	%d d %d h %d min	%d T %d h %d min	%d j %d h %d min	%d d %d h %d min	
nav_header_count_down_subtext	bis zur Lateinwoche		bis zur Lateinwoche			
menu_home	Home					
menu_gallery	Gallery					
menu_slideshow	Slideshow					
menu_tools	Tools					
menu_share	Share					
menu_send	Send					
menu_map	Karte	Map	Karte	Map	Forma	
menu_communicate	Communicate					
menu_horarium	Programm	Timetable	Programm	Horaire	Horarium	
menu_enrol	Anmelden					
ok	OK	Ok	OK			
cancel	Abbrechen		Abbrechen			
						
%% Horarium %%						
action_day_view_day	%d Tag	%d day	%d Tag	%d jour	%d dies	
action_day_view_days	%d Tage	%d days	%d Tage	%d jours	%d dies	
dialog_outdated_horarium	Es gibt noch kein aktuelles Programm.\nDas von letztem Jahr wird angezeigt.		Es gibt noch kein aktuelles Programm.\nDas von letztem Jahr wird angezeigt.			
dialog_outdated_horarium_title	Kein Programm gefunden		Kein Programm gefunden			
dialog_do_not_show_again	Nicht mehr anzeigen		Nicht mehr anzeigen			
						
%% Maps %%						
snackbar_map_permission	Berechtigung für Gerätespeicher notwendig für das Anzeigen der Karte	Map needs storage permission to cache the map!	Berechtigung für Gerätespeicher notwendig für das Anzeigen der Karte			
						
%% Enrol %%						
enrol_last_name_hint	Nachname		Nachname			
enrol_first_name_hint	Vorname		Vorname			
enrol_checkbox_johannes_haus	Ich möchte im Johanneshaus wohnen.	I want to stay in the Johanneshaus.	Ich möchte im Johanneshaus wohnen.	Je veux loger à Johanneshaus.	Velim in Johanneshaus deversari.	
enrol_street_hint	Straße u. Hausnummer		Straße u. Hausnummer			
enrol_postal_code_hint	Postleitzahl		Postleitzahl			
enrol_city_hint	Wohnort		Wohnort			
enrol_country_hint	Land		Land			
enrol_phone_hint	Telephonnummer		Telephonnummer			
enrol_mail_hint	Email		Email			
enrol_years_of_latin_hint	0					
enrol_years_of_latin_front	Ich habe					
enrol_years_of_latin_back_sg	Jahr Latein gelernt.					
enrol_years_of_latin_back_pl	Jahre Latein gelernt.					
enrol_eating_habit_front	Ich esse					
enrol_eating_habit_vegan	vegan					
enrol_eating_habit_vegetarian	vegetarisch					
enrol_eating_habit_glutenfree	glutenfrei					
enrol_eating_habit_everything	alles.					
enrol_eating_habit_allergens	andere Allergene					
eating_habit_allergens	Allergene					
eating_habit_vegetarian	Vegetarier					
eating_habit_vegan	Veganer					
eating_habit_gluten	Gluten	not-translatable	not-translatable	not-translatable	not-translatable	
enrol_instrument_front	Ich bringe ein(e/en)					
enrol_instrument_hint	Musikinstrument	Musikinstrument				
enrol_instrument_back_1	mit.		"mit. "			
enrol_veggieday	Für mich ist es ok, wenn es nur jeden zweiten Tag Fleisch gibt.					
enrol_instrument_back_2	(falls möglich)		(falls möglich)			
dialog_confirm_enrolment_title	Verbindlich Anmelden		Verbindlich Anmelden			
dialog_confirm_enrolment	Hiermit bestätige ich, dass ich mich mit dem Senden der in Folge erstellten Email verbindlich zur Lateinwoche anmelde und meine Angaben überprüft habe.		Hiermit bestätige ich, dass ich mich mit dem Senden der in Folge erstellten Email verbindlich zur Lateinwoche anmelde und meine Angaben überprüft habe.			
enrol_send_email_address	thomas@septimanalatina.org	not-translatable	not-translatable	not-translatable	not-translatable	
enrol_send_email_subject	Anmeldung Lateinwoche - %s, %s	not-translatable	not-translatable	not-translatable	not-translatable	
enrol_send_email_template	%s %s\n%s\n%s\n%s\n%s\n\n%s\n\%s\nIm Johanneshaus wohnen: %s\nJahre Latein: %.1f\n%s\nInstrument: %s\nVeggiedays ok: %s	not-translatable	not-translatable	not-translatable	not-translatable	
enrol_send_yes	Ja	not-translatable	not-translatable	not-translatable	not-translatable	
enrol_send_no	Nein	not-translatable	not-translatable	not-translatable	not-translatable	
						
%% Preference Titles %%						
messages_header	Messages					
sync_header	Sync					
						
%% Messages Preferences %%						
signature_title	Your signature					
reply_title	Default reply action					
settings_title_language	Sprache	Language	Sprache	Langue	Lingua	
settings_use_latin	Auf Latein	Use Latin	Auf Latein	Utiliser latin	Uti lingua Latina	
settings_summary_use_latin_off	App wird in der Gerätesprache angezeigt	App displayed in default device language	App wird in der Gerätesprache angezeigt		App lingua instrumenti viditur	
settings_summary_use_latin_on	App displayed in Latin	App displayed in Latin			App lingua Latina viditur	
action_horarium_language	Show timetable in %s	Show timetable in %s	Programm auf %s	Horaire en %s	Videatur horarium in %s	
snackbar_horarium_not_found	Kein Programm für die ausgewählte Sprache gefunden	No horarium found in the specified language	Kein Programm für die ausgewählte Sprache gefunden	Aucun horaire trouvé		
snackbar_previous_horarium	vergangenen					
						
%% Language stuff%%						
language	language %s	-		-	lingua %s	tools:ignore=ExtraTranslation,MissingTranslation
language_latin	-	-		-	Latina	tools:ignore=ExtraTranslation,MissingTranslation
language_english	-	-		-	Anglica	tools:ignore=ExtraTranslation,MissingTranslation
language_german	-	-		-	Theodisca	tools:ignore=ExtraTranslation,MissingTranslation
language_french	-	-		-	Francogallica	tools:ignore=ExtraTranslation,MissingTranslation
language_unknown	-	-		-	ignota	tools:ignore=ExtraTranslation,MissingTranslation
dialog_choose_language	Should Septimanapp be displayed in Latin or German?%s	Should Septimanapp be displayed in Latin or English?	Soll die Septimanapp in Latein angezeigt werden oder auf Deutsch?	Est-ce que vous voulez regarder Septimanapp en latin ou français?		
						
%% Notifications%%						
action_notify_enrol_reminder	com.nobodysapps.septimanapp.action.ENROL_REMINDER	not-translatable	not-translatable	not-translatable	not-translatable	
action_notify_continue_enrol_reminder	com.nobodysapps.septimanapp.action.CONTINUE_ENROL_REMINDER	not-translatable	not-translatable	not-translatable	not-translatable	
action_mark_already_enrolled	com.nobodysapps.septimanapp.action.ALREADY_ENROLLED	not-translatable	not-translatable	not-translatable	not-translatable	
